epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
29,422.805,0.66309,0.66243,0.44839,0.9711,0,0.97385,0.96658,0.98949,0.86961,0.27955,0.23718,0.11669,0.02922,0.5197,0.40153,0.2709,0.98646,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,876.581,0.66594,0.66478,0.45105,0.97466,0,0.9733,0.96882,0.98984,0.87039,0.28564,0.24279,0.12156,0.0294,0.519,0.40063,0.26987,0.98684,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1327.81,0.6652,0.66206,0.44851,0.97337,0,0.974,0.96831,0.9901,0.87229,0.28999,0.24606,0.12522,0.03158,0.51741,0.39975,0.2683,0.98649,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1782.12,0.66026,0.65945,0.44426,0.97194,0,0.97443,0.969,0.9901,0.87176,0.29074,0.247,0.126,0.03134,0.51646,0.39919,0.26721,0.98665,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2236.59,0.65937,0.65736,0.44356,0.9704,0,0.97516,0.96886,0.99029,0.87253,0.2957,0.25192,0.12779,0.03107,0.51559,0.39896,0.26705,0.9862,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2691.57,0.65502,0.65664,0.43883,0.96818,0,0.97351,0.96905,0.99005,0.87274,0.29364,0.25099,0.12466,0.03073,0.51386,0.39867,0.26639,0.98544,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3143.77,0.65172,0.6538,0.43855,0.96741,0,0.97387,0.96959,0.99,0.87304,0.29386,0.2513,0.12734,0.03289,0.5131,0.39733,0.26575,0.98495,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3585.39,0.65086,0.6533,0.43588,0.96776,0,0.97411,0.96871,0.9903,0.87348,0.29563,0.25337,0.13031,0.03341,0.51262,0.39664,0.26503,0.98451,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4016.61,0.64619,0.65174,0.43162,0.96523,0,0.97354,0.97,0.99041,0.87344,0.29632,0.25358,0.1281,0.0327,0.51219,0.39602,0.26422,0.98418,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4448.01,0.64444,0.64974,0.43085,0.96333,0,0.97328,0.97042,0.99047,0.87426,0.29829,0.25638,0.132,0.03411,0.51165,0.39559,0.26341,0.98392,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4878.58,0.64147,0.64876,0.42884,0.96207,0,0.97292,0.97083,0.99049,0.87421,0.30054,0.25794,0.13401,0.03596,0.51044,0.39512,0.26249,0.98328,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,5309.74,0.63935,0.64649,0.42728,0.9614,0,0.97316,0.97103,0.99057,0.87466,0.3023,0.25971,0.13416,0.03591,0.50939,0.3947,0.2617,0.9829,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,5739.57,0.63581,0.6478,0.42372,0.95963,0,0.97377,0.97146,0.99063,0.87503,0.30232,0.26054,0.1352,0.03656,0.50856,0.39425,0.26129,0.9825,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6171.44,0.63343,0.64268,0.42346,0.95996,0,0.97404,0.97166,0.99064,0.87495,0.3023,0.26017,0.13535,0.03632,0.50802,0.39396,0.26045,0.98238,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
29,500.274,0.66388,0.65044,0.44841,0.97015,0,0.97325,0.96855,0.98987,0.86981,0.28322,0.23998,0.11692,0.02931,0.52069,0.40304,0.27212,0.98623,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,986.608,0.66688,0.65293,0.45064,0.97333,0,0.9717,0.97011,0.98962,0.87046,0.28365,0.24216,0.1185,0.02924,0.51999,0.40259,0.27144,0.98594,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1477.61,0.66587,0.65046,0.44769,0.97127,0,0.9742,0.96938,0.99002,0.87021,0.28725,0.24507,0.12207,0.03036,0.51956,0.4018,0.27018,0.98522,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1949.87,0.66263,0.64768,0.44524,0.97143,0,0.97387,0.96969,0.98985,0.87162,0.28605,0.24465,0.1224,0.03044,0.51829,0.4011,0.26822,0.98577,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2418.89,0.66116,0.64604,0.44449,0.96944,0,0.9747,0.97104,0.99029,0.87276,0.29087,0.24756,0.12422,0.0302,0.51721,0.4006,0.26738,0.98536,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2886.71,0.65574,0.64562,0.43905,0.9665,0,0.97456,0.97036,0.99025,0.87228,0.29237,0.24933,0.12549,0.03084,0.51532,0.39989,0.26618,0.98447,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3354.06,0.65197,0.64333,0.4386,0.96636,0,0.97331,0.97146,0.99021,0.87239,0.2933,0.24984,0.12722,0.03176,0.51459,0.39901,0.2653,0.98452,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3817.82,0.65255,0.64275,0.43583,0.96582,0,0.97257,0.97173,0.99057,0.87289,0.2938,0.25109,0.12868,0.03234,0.51354,0.39842,0.26411,0.98365,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4285.23,0.64718,0.64051,0.43176,0.96339,0,0.97353,0.97166,0.99062,0.87266,0.29492,0.25223,0.13128,0.03332,0.51325,0.39779,0.26354,0.98306,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4751.95,0.64641,0.63895,0.43127,0.96306,0,0.97306,0.97197,0.99069,0.87311,0.29837,0.25462,0.1349,0.0346,0.51208,0.39728,0.26296,0.98259,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5219.35,0.64144,0.63783,0.429,0.96057,0,0.97329,0.9721,0.9906,0.87335,0.30272,0.25846,0.13673,0.0347,0.51079,0.39705,0.26211,0.98201,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,5688.61,0.642,0.63582,0.428,0.9611,0,0.97378,0.97229,0.9905,0.87422,0.30327,0.2595,0.1367,0.0352,0.50934,0.39634,0.26159,0.98118,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6156.77,0.63703,0.63589,0.42354,0.95899,0,0.97393,0.97229,0.99055,0.87497,0.30292,0.25887,0.13658,0.03561,0.50814,0.39595,0.26034,0.98079,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6623.76,0.63419,0.63135,0.42309,0.95792,0,0.9735,0.9725,0.99055,0.87517,0.30496,0.26085,0.13727,0.03589,0.50695,0.3955,0.25948,0.98031,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,7090.43,0.63283,0.63085,0.42135,0.95761,0,0.9734,0.97239,0.99058,0.87525,0.30587,0.26137,0.13954,0.0363,0.50654,0.39519,0.25916,0.97998,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,7556.45,0.631,0.63036,0.42046,0.95616,0,0.97334,0.97332,0.99065,0.87528,0.30573,0.26147,0.14025,0.03663,0.50577,0.39476,0.25861,0.97977,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,8024.18,0.62725,0.62635,0.4174,0.95394,0,0.97384,0.97291,0.99068,0.87541,0.30613,0.26178,0.14158,0.03675,0.50483,0.3945,0.25809,0.97929,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,8494.41,0.62709,0.62677,0.41422,0.95538,0,0.97398,0.97312,0.99071,0.87555,0.30607,0.2623,0.14118,0.03652,0.50461,0.39398,0.25755,0.97915,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
29,381.436,0.66388,0.65044,0.44841,0.97015,0,0.97325,0.96855,0.98987,0.86981,0.28322,0.23998,0.11692,0.02931,0.52069,0.40304,0.27212,0.98623,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,895.555,0.66688,0.65293,0.45064,0.97333,0,0.9717,0.97011,0.98962,0.87046,0.28365,0.24216,0.1185,0.02924,0.51999,0.40259,0.27144,0.98594,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1382.23,0.66587,0.65046,0.44769,0.97127,0,0.9742,0.96938,0.99002,0.87021,0.28725,0.24507,0.12207,0.03036,0.51956,0.4018,0.27018,0.98522,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,442.479,0.62788,0.62933,0.42325,0.95525,0,0.9745,0.96969,0.98992,0.87036,0.28693,0.24663,0.122,0.03093,0.51896,0.40167,0.26856,0.98543,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,873.379,0.64682,0.64186,0.43512,0.9645,0,0.97351,0.97104,0.99004,0.87007,0.28767,0.24756,0.12033,0.03077,0.51932,0.40199,0.26737,0.98573,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1298.31,0.65823,0.64601,0.44018,0.96733,0,0.97535,0.96938,0.99025,0.87157,0.28786,0.24673,0.12123,0.03023,0.51846,0.40167,0.26709,0.98468,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1716.24,0.65976,0.64638,0.4407,0.96993,0,0.97424,0.97166,0.99033,0.87192,0.2894,0.24808,0.12421,0.03103,0.51752,0.40102,0.26607,0.98424,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2132.91,0.65769,0.64455,0.44012,0.96847,0,0.9743,0.97062,0.99017,0.87219,0.29208,0.25047,0.12735,0.03142,0.51589,0.40027,0.26578,0.98428,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2552.95,0.65324,0.6434,0.4361,0.96573,0,0.97275,0.97068,0.99015,0.87246,0.29478,0.25441,0.12934,0.03095,0.5146,0.3994,0.26503,0.98427,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2971.7,0.64879,0.6412,0.4347,0.96371,0,0.97346,0.97078,0.99038,0.8726,0.29482,0.2542,0.12989,0.03186,0.51365,0.39884,0.26447,0.984,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3391.15,0.64864,0.64006,0.43242,0.96466,0,0.97396,0.9699,0.99043,0.87357,0.29498,0.25483,0.13113,0.03169,0.51295,0.39834,0.26376,0.98351,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3810.47,0.64302,0.63805,0.42824,0.96186,0,0.97436,0.97031,0.99054,0.87358,0.2968,0.25566,0.13185,0.03247,0.51247,0.3977,0.26315,0.98308,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4230.48,0.64111,0.63622,0.42733,0.9613,0,0.97436,0.97,0.99057,0.87452,0.29989,0.25867,0.13443,0.03383,0.51132,0.39738,0.26226,0.98281,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4648.68,0.63761,0.63586,0.42538,0.95926,0,0.97576,0.96953,0.99053,0.87471,0.30173,0.26041,0.13577,0.03407,0.5103,0.39688,0.26137,0.98239,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,5067.41,0.63722,0.63275,0.42322,0.95861,0,0.97565,0.9699,0.99047,0.87483,0.30068,0.26022,0.13527,0.03416,0.50936,0.39654,0.26071,0.98195,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,5484.37,0.63277,0.63335,0.41978,0.95698,0,0.97607,0.97052,0.99055,0.87519,0.30397,0.26282,0.13978,0.03466,0.50846,0.39607,0.25986,0.98154,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,5905.56,0.62932,0.62894,0.41957,0.95576,0,0.97601,0.97094,0.99072,0.8755,0.30499,0.26386,0.14072,0.03476,0.50794,0.39583,0.25928,0.9814,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,6326.44,0.62953,0.6289,0.41654,0.95657,0,0.97618,0.96989,0.99067,0.87538,0.30533,0.26425,0.1398,0.035,0.50743,0.39537,0.2588,0.98106,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,6746.34,0.62678,0.62799,0.41605,0.95597,0,0.97517,0.97013,0.99068,0.87567,0.308,0.26656,0.14113,0.03554,0.50685,0.39497,0.25813,0.98087,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,7162.17,0.62343,0.62346,0.41271,0.95275,0,0.97538,0.97043,0.99077,0.87585,0.30799,0.26687,0.14241,0.03566,0.50623,0.39473,0.25766,0.98051,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,7582.7,0.62264,0.62413,0.41065,0.95383,0,0.97538,0.97042,0.99081,0.87581,0.31002,0.26869,0.14371,0.03604,0.50574,0.39441,0.25739,0.98027,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,8002.07,0.62025,0.62313,0.40888,0.9515,0,0.97552,0.97062,0.99084,0.87597,0.30963,0.26822,0.14345,0.03607,0.50515,0.39416,0.25685,0.98004,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,8417.99,0.61422,0.62232,0.40781,0.94916,0,0.97544,0.97052,0.99091,0.87617,0.30917,0.26811,0.1433,0.03658,0.50463,0.39388,0.25636,0.97973,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,8834.93,0.61401,0.61737,0.40516,0.94923,0,0.97559,0.97081,0.99093,0.87626,0.31003,0.26905,0.14332,0.0368,0.50408,0.39354,0.25581,0.97958,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,9256.1,0.61104,0.61766,0.4044,0.94772,0,0.97519,0.97122,0.99084,0.87679,0.31002,0.2691,0.14218,0.03611,0.50332,0.39322,0.25519,0.97928,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,9677.43,0.60853,0.61691,0.40215,0.94709,0,0.9759,0.97081,0.99089,0.87705,0.31072,0.26977,0.14306,0.03619,0.50272,0.39286,0.25474,0.97894,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,10097.5,0.60883,0.6171,0.40282,0.94835,0,0.9758,0.97156,0.99085,0.8774,0.31174,0.26988,0.14461,0.03699,0.50197,0.39264,0.25409,0.9786,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,10516.7,0.60283,0.61344,0.39973,0.94517,0,0.9757,0.97112,0.99097,0.87821,0.3131,0.27102,0.14577,0.03678,0.50116,0.39237,0.2537,0.97828,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
